,Country,Obesity - adult prevalence rate (%),Life expectancy at birth (years)
0,Uruguay,27.9,77.6
1,Mauritius,10.8,76.0
2,Channel Islands,,
3,Martinique,,
4,Montenegro,23.3,
5,Kyrgyzstan,16.6,71.2
6,Bolivia,20.2,69.8
7,Mayotte,,
8,Rwanda,5.8,64.5
9,Liechtenstein,,82.0
10,Madagascar,5.3,66.6
11,Isle of Man,,81.4
12,French Polynesia,,77.5
13,Uganda,5.3,56.3
14,Zambia,8.1,53.0
15,Barbados,23.1,75.7
16,El Salvador,24.6,75.1
17,Congo,9.6,60.3
18,Mali,8.6,60.8
19,Niger,5.5,56.3
20,Guinea,7.7,62.1
21,New Caledonia,,78.0
22,Djibouti,13.5,64.0
23,Equatorial Guinea,8.0,65.0
24,Mongolia,20.6,70.2
25,Dominica,27.9,77.4
26,Saint Martin,,
27,Grenada,21.3,74.8
28,Eswatini,,
29,Cayman Islands,,81.4
30,Guyana,20.2,68.9
31,Laos,5.3,65.0
32,Mozambique,7.2,54.1
33,Myanmar,5.8,68.6
34,Seychelles,14.0,75.2
35,Suriname,26.4,72.8
36,Gabon,15.0,68.0
37,Zimbabwe,15.5,61.1
38,Antigua and Barbuda,18.9,76.9
39,Cabo Verde,11.8,72.7
40,Benin,9.6,62.7
41,Eritrea,5.0,65.6
42,Vatican City,,
43,Sudan,6.6,65.8
44,Angola,8.2,60.6
45,Fiji,30.2,73.2
46,Mauritania,12.7,63.8
47,Montserrat,,74.8
48,St. Barth,,
49,Syria,27.8,75.2
50,Nicaragua,23.7,73.7
51,Bhutan,6.4,71.1
52,Turks and Caicos,,
53,Gambia,10.3,65.4
54,CAR,7.5,53.3
55,Chad,6.1,57.5
56,Liberia,9.9,63.8
57,Libya,32.5,76.9
58,Sint Maarten,,
59,Somalia,8.3,53.2
60,MS Zaandam,,
61,Anguilla,,81.6
62,Belize,24.1,74.7
63,British Virgin Islands,,78.9
64,Guinea-Bissau,9.5,61.4
65,Saint Kitts and Nevis,22.9,76.2
66,Papua New Guinea,21.3,67.5
67,Timor-Leste,3.8,68.7
68,Lithuania,26.3,75.2
69,Latvia,23.6,74.9
70,R¨¦union,,
71,Trinidad and Tobago,18.6,73.4
72,Paraguay,20.3,77.6
73,Aruba,,77.1
74,Monaco,,89.4
75,Kenya,7.1,64.6
76,Togo,8.4,65.8
77,Ethiopia,4.5,
78,Haiti,22.7,64.6
79,Tanzania,8.4,63.1
80,Bahamas,31.6,72.9
81,Nepal,4.1,71.3
82,Saint Lucia,19.7,78.1
83,St. Vincent Grenadines,23.7,75.8
84,Andorra,25.6,82.9
85,Denmark,19.7,81.0
86,Slovakia,20.5,77.4
87,Tunisia,26.9,75.9
88,Moldova,18.9,71.3
89,Ghana,10.9,67.4
90,Malta,28.9,82.7
91,Afghanistan,5.5,52.1
92,Cameroon,11.4,59.4
93,DRC,6.7,58.1
94,Jamaica,24.7,74.5
95,Bermuda,,81.5
96,Namibia,17.2,64.4
97,Greenland,,72.9
98,Cura?ao,,
99,Ecuador,19.9,77.1
100,Dominican Republic,27.6,71.3
101,Costa Rica,25.7,78.9
102,Ivory Coast,,
103,Honduras,21.4,71.3
104,Nigeria,8.9,59.3
105,North Macedonia,22.4,75.9
106,Netherlands,20.4,81.5
107,Panama,22.7,78.9
108,Cuba,24.6,78.9
109,Mexico,28.9,76.3
110,Ireland,25.3,81.0
111,Ukraine,24.1,72.4
112,San Marino,,83.4
113,French Guiana,,
114,Brazil,22.1,74.3
115,Uzbekistan,16.6,74.3
116,Norway,23.1,82.0
117,Poland,23.1,77.9
118,Bosnia and Herzegovina,17.9,77.1
119,Colombia,22.3,76.2
120,Sri Lanka,5.2,77.1
121,Macao,,84.6
122,Guatemala,21.2,71.8
123,Finland,22.2,81.1
124,Slovenia,20.2,81.2
125,Maldives,8.6,76.0
126,Bulgaria,25.0,74.8
127,Czechia,26.0,78.9
128,Morocco,26.1,77.3
129,Gibraltar,,79.7
130,Azerbaijan,19.9,73.0
131,Cyprus,,
132,Bangladesh,3.6,73.7
133,Peru,19.7,74.2
134,Sweden,20.6,82.2
135,Guadeloupe,,
136,Kazakhstan,21.0,71.4
137,Jordan,35.5,75.0
138,Palestine,,
139,Georgia,21.7,76.6
140,Estonia,21.2,77.0
141,Burkina Faso,5.6,61.8
142,Vietnam,2.1,73.9
143,Cambodia,3.9,65.2
144,Oman,27.0,75.9
145,Senegal,8.8,62.5
146,Pakistan,8.6,68.4
147,Lebanon,32.0,77.9
148,Armenia,20.2,75.1
149,South Africa,28.3,64.1
150,Algeria,27.4,77.2
151,Belarus,24.5,73.2
152,Albania,21.7,78.6
153,Brunei,14.1,77.5
154,Hungary,26.4,76.3
155,Taiwan,,80.4
156,Venezuela,25.6,76.2
157,Luxembourg,22.6,82.4
158,Philippines,6.4,69.6
159,Serbia,21.5,75.9
160,Portugal,20.8,80.9
161,Qatar,35.1,79.0
162,Croatia,24.4,76.3
163,Greece,24.9,80.8
164,UAE,31.7,78.7
165,New Zealand,30.8,81.4
166,Chile,28.0,79.1
167,Russia,23.1,71.3
168,Indonesia,6.9,73.2
169,Saudi Arabia,35.4,75.7
170,Kuwait,37.9,78.3
171,Turkey,32.1,75.3
172,Faeroe Islands,,80.6
173,Argentina,28.3,77.5
174,India,3.9,69.1
175,Israel,26.1,82.7
176,Thailand,10.0,75.1
177,Iceland,21.9,83.1
178,Hong Kong,,83.1
179,Egypt,32.0,73.2
180,UK,27.8,80.9
181,Iraq,30.4,74.9
182,Romania,22.5,75.6
183,Singapore,6.1,85.5
184,Australia,29.0,82.4
185,Bahrain,29.8,79.1
186,Malaysia,15.6,75.4
187,Japan,4.3,85.5
188,Austria,20.1,81.7
189,Canada,29.4,82.0
190,Diamond Princess,,
191,Belgium,22.1,81.2
192,Switzerland,19.5,82.7
193,USA,36.2,80.1
194,S. Korea,4.7,82.5
195,France,21.6,82.0
196,Germany,22.3,80.9
197,Italy,19.9,82.4
198,Iran,25.8,74.2
199,Spain,23.8,81.8
200,China,6.2,75.8
